af;af|afrikaans
ar;ar([-_][[:alpha:]]{2})?|arabic
az;az|azerbaijani
bg;bg|bulgarian
bs;bs|bosnian
ca;ca|catalan
cs;cs|czech
da;da|danish
de;de([-_][[:alpha:]]{2})?|german
el;el|greek
en;en([-_][[:alpha:]]{2})?|english
eo;eo|esperanto
es;es([-_][[:alpha:]]{2})?|spanish
et;et|estonian
eu;eu|basque
fa;fa|persian
fi;fi|finnish
fr;fr([-_][[:alpha:]]{2})?|french
gl;gl|galician
he;he|hebrew
hi;hi|hindi
hr;hr|croatian
hu;hu|hungarian
id;id|indonesian
it;it|italian
ja;ja|japanese
ko;ko|korean
ka;ka|georgian
lt;lt|lithuanian
lv;lv|latvian
ms;ms|malay
nl;nl([-_][[:alpha:]]{2})?|dutch
no;no|norwegian
pl;pl|polish
pt-br;pt[-_]br|brazilian portuguese
pt;pt([-_][[:alpha:]]{2})?|portuguese
ro;ro|romanian
ru;ru|russian
sk;sk|slovak
sl;sl|slovenian
sq;sq|albanian
sr;sr|serbian
sv;sv|swedish
th;th|thai
tr;tr|turkish
uk;uk|ukrainian
zh-tw;zh[-_]tw|chinese traditional
zh;zh|chinese simplified